Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Recovered
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,205
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,197
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,243
Bihar,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257
Bihar,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,197
Bihar,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,275
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,340
Bihar,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,338
Bihar,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,324
Bihar,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,43
Bihar,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,57
Bihar,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32
Bihar,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32
Bihar,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,21
Bihar,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,21
Bihar,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,22
Bihar,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,31
Bihar,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,41
Bihar,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,45
Bihar,2001,AT3-Buses,3. Buses,0
Bihar,2003,AT3-Buses,3. Buses,0
Bihar,2004,AT3-Buses,3. Buses,0
Bihar,2005,AT3-Buses,3. Buses,0
Bihar,2006,AT3-Buses,3. Buses,0
Bihar,2007,AT3-Buses,3. Buses,0
Bihar,2008,AT3-Buses,3. Buses,0
Bihar,2009,AT3-Buses,3. Buses,0
Bihar,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Bihar,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),8
Bihar,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),7
Bihar,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Bihar,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),1
Bihar,2009,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),11
Bihar,2010,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),11
Bihar,2001,AT5-Other Motor vehicles,5. Other Motor vehicles,2
Bihar,2002,AT5-Other Motor vehicles,5. Other Motor vehicles,6
Bihar,2003,AT5-Other Motor vehicles,5. Other Motor vehicles,14
Bihar,2004,AT5-Other Motor vehicles,5. Other Motor vehicles,16
Bihar,2005,AT5-Other Motor vehicles,5. Other Motor vehicles,5
Bihar,2006,AT5-Other Motor vehicles,5. Other Motor vehicles,12
Bihar,2007,AT5-Other Motor vehicles,5. Other Motor vehicles,37
Bihar,2008,AT5-Other Motor vehicles,5. Other Motor vehicles,19
Bihar,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,24
Bihar,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,20
Bihar,2001,AT6-Total,6. Total (Sum of 1-5 Above),250
Bihar,2002,AT6-Total,6. Total (Sum of 1-5 Above),268
Bihar,2003,AT6-Total,6. Total (Sum of 1-5 Above),293
Bihar,2004,AT6-Total,6. Total (Sum of 1-5 Above),312
Bihar,2005,AT6-Total,6. Total (Sum of 1-5 Above),226
Bihar,2006,AT6-Total,6. Total (Sum of 1-5 Above),312
Bihar,2007,AT6-Total,6. Total (Sum of 1-5 Above),323
Bihar,2008,AT6-Total,6. Total (Sum of 1-5 Above),391
Bihar,2009,AT6-Total,6. Total (Sum of 1-5 Above),414
Bihar,2010,AT6-Total,6. Total (Sum of 1-5 Above),400
Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,688
Delhi,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,665
Delhi,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,586
Delhi,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,871
Delhi,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,997
Delhi,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,953
Delhi,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,774
Delhi,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,754
Delhi,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1164
Delhi,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1225
Delhi,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1151
Delhi,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,880
Delhi,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,625
Delhi,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,647
Delhi,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,784
Delhi,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,620
Delhi,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,536
Delhi,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,486
Delhi,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,580
Delhi,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,594
Delhi,2001,AT3-Buses,3. Buses,14
Delhi,2002,AT3-Buses,3. Buses,10
Delhi,2003,AT3-Buses,3. Buses,5
Delhi,2004,AT3-Buses,3. Buses,3
Delhi,2005,AT3-Buses,3. Buses,4
Delhi,2006,AT3-Buses,3. Buses,1
Delhi,2007,AT3-Buses,3. Buses,2
Delhi,2008,AT3-Buses,3. Buses,1
Delhi,2009,AT3-Buses,3. Buses,0
Delhi,2010,AT3-Buses,3. Buses,1
Delhi,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),33
Delhi,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),94
Delhi,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),25
Delhi,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),152
Delhi,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),52
Delhi,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),10
Delhi,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),13
Delhi,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),13
Delhi,2009,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),24
Delhi,2010,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),40
Delhi,2001,AT5-Other Motor vehicles,5. Other Motor vehicles,164
Delhi,2002,AT5-Other Motor vehicles,5. Other Motor vehicles,57
Delhi,2003,AT5-Other Motor vehicles,5. Other Motor vehicles,186
Delhi,2004,AT5-Other Motor vehicles,5. Other Motor vehicles,448
Delhi,2005,AT5-Other Motor vehicles,5. Other Motor vehicles,412
Delhi,2006,AT5-Other Motor vehicles,5. Other Motor vehicles,476
Delhi,2007,AT5-Other Motor vehicles,5. Other Motor vehicles,457
Delhi,2008,AT5-Other Motor vehicles,5. Other Motor vehicles,86
Delhi,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,118
Delhi,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,64
Delhi,2001,AT6-Total,6. Total (Sum of 1-5 Above),2050
Delhi,2002,AT6-Total,6. Total (Sum of 1-5 Above),1706
Delhi,2003,AT6-Total,6. Total (Sum of 1-5 Above),1427
Delhi,2004,AT6-Total,6. Total (Sum of 1-5 Above),2121
Delhi,2005,AT6-Total,6. Total (Sum of 1-5 Above),2249
Delhi,2006,AT6-Total,6. Total (Sum of 1-5 Above),2060
Delhi,2007,AT6-Total,6. Total (Sum of 1-5 Above),1782
Delhi,2008,AT6-Total,6. Total (Sum of 1-5 Above),1340
Delhi,2009,AT6-Total,6. Total (Sum of 1-5 Above),1886
Delhi,2010,AT6-Total,6. Total (Sum of 1-5 Above),1924
